time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-20T13:03:34.315Z,36.4721,7.1179,10,4.2,mb,28,141,1.95,0.51,us,us7000is4s,2023-01-30T06:00:24.040Z,"27 km W of Guelma, Algeria",earthquake,5.03,1.912,0.176,10,reviewed,us,us
2022-11-20T11:48:10.947Z,37.0304,3.682,10,4.1,mb,32,137,2.898,0.33,us,us7000ir59,2023-01-30T06:00:23.040Z,"24 km WNW of Dellys, Algeria",earthquake,4.94,1.937,0.157,11,reviewed,us,us
2022-11-18T23:32:42.138Z,35.4546,-3.6108,10,4.3,mb,47,115,2.334,0.63,us,us7000iqvl,2023-01-28T19:58:28.040Z,"37 km NE of Al Hoceïma, Morocco",earthquake,6.69,1.904,0.116,21,reviewed,us,us
2022-11-12T13:32:13.733Z,36.3127,3.0727,10,4.8,mb,34,149,3.502,0.97,us,us7000ipav,2023-01-28T19:58:09.040Z,"24 km NE of Berrouaghia, Algeria",earthquake,7.54,1.907,0.144,15,reviewed,us,us
2022-11-04T22:26:50.471Z,35.4758,-3.5546,10,4.3,mb,26,116,2.786,0.36,us,us7000iml9,2023-01-12T23:11:34.040Z,"42 km NE of Al Hoceïma, Morocco",earthquake,7.13,1.926,0.306,3,reviewed,us,us
2022-10-21T12:45:58.940Z,35.3062,-4.0765,10,4.3,mb,55,109,2.08,0.53,us,us6000ivhg,2022-12-31T23:03:46.040Z,"13 km NW of Tirhanimîne, Morocco",earthquake,6.47,1.894,0.101,28,reviewed,us,us
2022-10-16T07:32:16.639Z,35.4713,-3.4838,15.504,4.5,mb,25,71,2.42,0.39,us,us6000iv98,2022-12-31T23:03:42.040Z,"47 km ENE of Al Hoceïma, Morocco",earthquake,3.69,4.785,0.163,11,reviewed,us,us
2022-10-04T15:39:29.753Z,35.2919,-3.6514,10,4.9,mb,70,95,2.382,0.71,us,us6000iqqa,2022-12-10T22:53:07.040Z,"24 km NE of Imzouren, Morocco",earthquake,3.75,1.838,0.057,99,reviewed,us,us
2022-10-04T15:37:19.100Z,35.5593,-3.4635,10,4,mb,18,116,2.4,1.02,us,us6000iqq9,2022-12-10T22:53:07.040Z,"54 km NE of Al Hoceïma, Morocco",earthquake,3.3,1.929,0.366,2,reviewed,us,us
2022-09-19T16:30:47.505Z,36.5606,-11.1552,10,4.5,mb,55,99,1.953,0.93,us,us7000i9bg,2022-11-26T20:57:42.040Z,"203 km WSW of Sagres, Portugal",earthquake,9.31,1.858,0.096,34,reviewed,us,us
