"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Figueras","Figueras","42.2667","2.9650","Spain","ES","ESP","Catalonia","","47879","1724895039"
"Águeda","Agueda","40.5744","-8.4481","Portugal","PT","PRT","Aveiro","minor","47729","1620290042"
"Vale de Cavalos","Vale de Cavalos","38.6500","-9.1500","Portugal","PT","PRT","Setúbal","","47661","1620690052"
"Gavá","Gava","41.3072","2.0039","Spain","ES","ESP","Catalonia","","47593","1724806532"
"Vich","Vich","41.9303","2.2547","Spain","ES","ESP","Catalonia","","47545","1724823476"
"Mairena del Aljarafe","Mairena del Aljarafe","37.3333","-6.0667","Spain","ES","ESP","Andalusia","","47541","1724732496"
"Lousada","Lousada","41.3000","-8.2400","Portugal","PT","PRT","Porto","minor","47387","1620988419"
"Rio de Mouro","Rio de Mouro","38.7840","-9.3220","Portugal","PT","PRT","Lisboa","","47311","1620970003"
"Esplugas de Llobregat","Esplugas de Llobregat","41.3767","2.0858","Spain","ES","ESP","Catalonia","","46921","1724352928"
"Corroios","Corroios","38.6500","-9.1500","Portugal","PT","PRT","Setúbal","","46475","1620361953"
"Alcira","Alcira","39.1500","-0.4350","Spain","ES","ESP","Valencia","","46421","1724303009"
"Manacor","Manacor","39.5667","3.2000","Spain","ES","ESP","Balearic Islands","","46395","1724483399"
"Santurce-Antiguo","Santurce-Antiguo","43.3303","-3.0314","Spain","ES","ESP","Basque Country","","46057","1724220415"
"San Felíu de Llobregat","San Feliu de Llobregat","41.3833","2.0439","Spain","ES","ESP","Catalonia","","46056","1724279247"
"Ourém","Ourem","39.6500","-8.5667","Portugal","PT","PRT","Santarém","minor","45932","1620510353"
"Mislata","Mislata","39.4750","-0.4156","Spain","ES","ESP","Valencia","","45644","1724001899"
"Denia","Denia","38.8444","0.1111","Spain","ES","ESP","Valencia","","45622","1724032915"
"Olhão","Olhao","37.0260","-7.8410","Portugal","PT","PRT","Faro","minor","45396","1620090779"
"San Antonio Abad","San Antonio Abad","37.6261","-0.9896","Spain","ES","ESP","Murcia","","45335","1724212697"
"Puertollano","Puertollano","38.6833","-4.1167","Spain","ES","ESP","Castille-La Mancha","","45127","1724051219"
"Portugalete","Portugalete","43.3194","-3.0194","Spain","ES","ESP","Basque Country","","44629","1724017694"
"Albufeira","Albufeira","37.0897","-8.2458","Portugal","PT","PRT","Faro","minor","44158","1620078404"
"Alhaurín de la Torre","Alhaurin de la Torre","36.6667","-4.5500","Spain","ES","ESP","Andalusia","","43674","1724504346"
"Ponte de Lima","Ponte de Lima","41.7667","-8.5667","Portugal","PT","PRT","Viana do Castelo","minor","43498","1620557012"
"Puerto del Rosario","Puerto del Rosario","28.5000","-13.8667","Spain","ES","ESP","Canary Islands","","43390","1724461156"
"Alenquer","Alenquer","39.0500","-9.0167","Portugal","PT","PRT","Lisboa","minor","43267","1620149244"
"Alcantarilla","Alcantarilla","37.9722","-1.2094","Spain","ES","ESP","Murcia","","43049","1724229842"
"Santa Cruz","Santa Cruz","32.6833","-16.8000","Portugal","PT","PRT","Madeira","","43005","1620409939"
"Lucena","Lucena","37.4089","-4.4853","Spain","ES","ESP","Andalusia","","42813","1724391367"
"Guarda","Guarda","40.5333","-7.3333","Portugal","PT","PRT","Guarda","admin","42541","1620174984"
"La Orotava","La Orotava","28.3906","-16.5247","Spain","ES","ESP","Canary Islands","","42454","1724852308"
"Puerto Real","Puerto Real","36.5292","-6.1919","Spain","ES","ESP","Andalusia","","42069","1724134848"
"Blanes","Blanes","41.6760","2.7930","Spain","ES","ESP","Catalonia","","41653","1724143581"
"Lloret de Mar","Lloret de Mar","41.7000","2.8333","Spain","ES","ESP","Catalonia","","41559","1724676299"
"Chaves","Chaves","41.7406","-7.4714","Portugal","PT","PRT","Vila Real","minor","41243","1620516049"
"Santa Eulalia del Río","Santa Eulalia del Rio","38.9847","1.5336","Spain","ES","ESP","Balearic Islands","","41228","1724568151"
"Antequera","Antequera","37.0183","-4.5597","Spain","ES","ESP","Andalusia","","41178","1724357550"
"Igualada","Igualada","41.5833","1.6167","Spain","ES","ESP","Catalonia","","41164","1724444786"
"Villafranca del Panadés","Villafranca del Panades","41.3447","1.6994","Spain","ES","ESP","Catalonia","","40714","1724718493"
"Tomar","Tomar","39.6000","-8.4167","Portugal","PT","PRT","Santarém","minor","40677","1620168091"
"La Rinconada","La Rinconada","37.4833","-5.9667","Spain","ES","ESP","Andalusia","","40162","1724417340"
"Soria","Soria","41.7667","-2.4667","Spain","ES","ESP","Castille-Leon","minor","40096","1724106558"
"Burjasot","Burjasot","39.5064","-0.4067","Spain","ES","ESP","Valencia","","39702","1724238629"
"Vendrell","Vendrell","41.2203","1.5347","Spain","ES","ESP","Catalonia","","39601","1724555594"
"Écija","Ecija","37.5333","-5.0833","Spain","ES","ESP","Andalusia","","39530","1724919208"
"Marratxi","Marratxi","39.6422","2.7528","Spain","ES","ESP","Balearic Islands","","39440","1724429400"
"Plasencia","Plasencia","40.0333","-6.1000","Spain","ES","ESP","Extremadura","","39412","1724951100"
"Abrantes","Abrantes","39.4633","-8.1975","Portugal","PT","PRT","Santarém","minor","39325","1620417746"
"Narón","Naron","43.5500","-8.1500","Spain","ES","ESP","Galicia","","39051","1724543353"
"Lluchmayor","Lluchmayor","39.4833","2.8833","Spain","ES","ESP","Balearic Islands","","39040","1724033667"
"Torre-Pacheco","Torre-Pacheco","37.7333","-0.9500","Spain","ES","ESP","Murcia","","39037","1724458704"
"Marinha Grande","Marinha Grande","39.7500","-8.9333","Portugal","PT","PRT","Leiria","minor","39032","1620186271"
"Trofa","Trofa","41.3500","-8.5500","Portugal","PT","PRT","Porto","minor","38999","1620889916"
"San Fernando de Henares","San Fernando de Henares","40.4256","-3.5353","Spain","ES","ESP","Madrid","","38974","1724056913"
"Mafamude","Mafamude","41.1350","-8.6170","Portugal","PT","PRT","Porto","","38940","1620550022"
"Ermezinde","Ermezinde","41.2170","-8.5500","Portugal","PT","PRT","Porto","","38798","1620357803"
"Los Palacios y Villafranca","Los Palacios y Villafranca","37.1625","-5.9242","Spain","ES","ESP","Andalusia","","38698","1724334949"
"Arucas","Arucas","28.1188","-15.5231","Spain","ES","ESP","Canary Islands","","38601","1724017455"
"Ripollet","Ripollet","41.4969","2.1574","Spain","ES","ESP","Catalonia","","38347","1724013514"
"Sama","Sama","43.3000","-5.6833","Spain","ES","ESP","Asturias","","37978","1724748229"
"Olot","Olot","42.1833","2.4833","Spain","ES","ESP","Catalonia","","37975","1724694918"
"San Adrián de Besós","San Adrian de Besos","41.4285","2.2230","Spain","ES","ESP","Catalonia","","37925","1724799974"
"Santa Pola","Santa Pola","38.1897","-0.5556","Spain","ES","ESP","Valencia","","37816","1724077015"
"Oleiros","Oleiros","43.3333","-8.3166","Spain","ES","ESP","Galicia","","37809","1724989777"
"Tudela","Tudela","42.0653","-1.6067","Spain","ES","ESP","Navarre","","37791","1724338927"
"Villagarcía de Arosa","Villagarcia de Arosa","42.5977","-8.7632","Spain","ES","ESP","Galicia","","37689","1724392038"
"Don Benito","Don Benito","38.9545","-5.8617","Spain","ES","ESP","Extremadura","","37485","1724257021"
"Silves","Silves","37.1869","-8.4389","Portugal","PT","PRT","Faro","minor","37126","1620801770"
"Moncada","Moncada","41.4872","2.1878","Spain","ES","ESP","Catalonia","","36891","1724353233"
"Águilas","Aguilas","37.4042","-1.5819","Spain","ES","ESP","Murcia","","36862","1724197717"
"Torres Novas","Torres Novas","39.4667","-8.5333","Portugal","PT","PRT","Santarém","minor","36717","1620693421"
"Cantanhede","Cantanhede","40.3500","-8.5833","Portugal","PT","PRT","Coimbra","minor","36595","1620294454"
"Cambrils","Cambrils","41.0667","1.0583","Spain","ES","ESP","Catalonia","","36496","1724843807"
"Tomelloso","Tomelloso","39.1578","-3.0208","Spain","ES","ESP","Castille-La Mancha","","36304","1724367154"
"Teruel","Teruel","40.3436","-1.1072","Spain","ES","ESP","Aragon","minor","36267","1724398880"
"Mieres","Mieres","43.2508","-5.7767","Spain","ES","ESP","Asturias","","36195","1724137111"
"Onteniente","Onteniente","38.8222","-0.6072","Spain","ES","ESP","Valencia","","36194","1724051475"
"El Plan","El Plan","37.6405","-1.0085","Spain","ES","ESP","Murcia","","36080","1724468727"
"Maspalomas","Maspalomas","27.7667","-15.5833","Spain","ES","ESP","Canary Islands","","36065","1724127061"
"Arroyomolinos","Arroyomolinos","40.2667","-3.9000","Spain","ES","ESP","Madrid","","35972","1724999273"
"Beja","Beja","38.0333","-7.8833","Portugal","PT","PRT","Beja","admin","35854","1620050458"
"Agualva","Agualva","38.7700","-9.2988","Portugal","PT","PRT","Lisboa","","35824","1620936507"
"Andújar","Andujar","38.0392","-4.0506","Spain","ES","ESP","Andalusia","","35788","1724144147"
"Burriana","Burriana","39.8894","-0.0925","Spain","ES","ESP","Valencia","","35750","1724445446"
"Câmara de Lobos","Camara de Lobos","32.6953","-16.9781","Portugal","PT","PRT","Madeira","","35666","1620560549"
"Miranda de Ebro","Miranda de Ebro","42.6833","-2.9333","Spain","ES","ESP","Castille-Leon","","35639","1724933402"
"Angra do Heroísmo","Angra do Heroismo","38.6556","-27.2194","Portugal","PT","PRT","Azores","","35402","1620152939"
"Bragança","Braganca","41.8067","-6.7589","Portugal","PT","PRT","Bragança","admin","35341","1620281131"
"Cieza","Cieza","38.2392","-1.4189","Spain","ES","ESP","Murcia","","35286","1724168894"
"San Javier","San Javier","37.8037","-0.8343","Spain","ES","ESP","Murcia","","35241","1724177387"
